Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
9/17/2020,"1,904",353,0.17,0,"1,407",33,0,0,128
9/18/2020,"3,125","11,504",5.55,5,647,295,39,31,"1,666"
9/19/2020,"2,338","3,463",1.67,2,720,147,0,0,577
9/20/2020,"2,777","8,782",4.23,5,528,210,24,32,"1,230"
9/21/2020,"3,663","17,612",8.49,26,596,267,118,47,"2,284"
9/22/2020,"2,652","9,180",4.43,10,760,205,15,17,"1,082"
9/23/2020,"2,792","9,182",4.5,6,666,256,6,15,"1,228"
9/24/2020,"3,207","13,281",7.19,18,660,248,27,45,"1,686"
9/25/2020,"2,853","9,526",4.59,8,728,259,8,13,"1,274"
9/26/2020,"2,483","4,456",2.15,7,733,181,0,0,743
9/27/2020,"3,125","11,298",5.45,6,619,222,7,71,"1,610"
9/28/2020,"3,357","15,111",7.29,13,636,329,67,19,"1,993"
9/29/2020,"3,412","16,559",7.98,13,674,283,8,73,"1,938"
9/30/2020,"2,748","9,137",4.41,12,737,247,9,15,"1,188"
10/1/2020,"3,280","14,945",7.21,10,693,225,14,78,"1,748"
10/2/2020,"2,688","8,335",4.02,9,760,274,0,0,"1,142"
10/3/2020,"2,917","10,331",4.98,7,579,170,20,59,"1,320"
10/4/2020,"2,706","8,498",4.1,4,692,248,14,14,"1,180"
10/5/2020,"3,173","14,009",6.75,16,647,277,73,15,"1,745"
10/6/2020,"2,564","6,927",3.34,6,802,233,0,0,957
10/7/2020,"2,630","8,259",3.98,9,825,208,17,19,"1,051"
10/8/2020,"2,692","6,534",3.15,9,693,201,15,19,"1,045"
10/9/2020,"2,862","9,802",4.77,16,744,257,5,7,"1,265"
10/10/2020,"2,771","10,035",4.84,9,665,180,7,35,"1,096"
10/11/2020,"2,859","9,342",4.5,11,574,189,13,41,"1,211"
10/12/2020,"3,328","16,622",8.01,17,599,275,77,11,"1,864"
10/13/2020,"3,435","15,302",7.38,31,606,277,35,64,"1,989"
10/14/2020,"2,870","8,280",3.99,10,714,286,4,16,"1,313"
10/15/2020,"2,851","8,658",4.17,13,743,263,8,19,"1,299"
10/16/2020,"3,402","14,447",6.97,18,764,278,10,71,"1,911"
10/17/2020,"2,602","6,235",3.01,3,620,202,10,19,967
10/18/2020,"2,382","3,494",1.68,5,706,193,0,0,723
10/19/2020,"3,074","11,112",5.36,15,706,280,25,30,"1,593"
10/20/2020,"3,326","14,804",7.14,13,721,243,18,81,"1,846"
10/21/2020,"2,721","8,076",3.89,11,775,246,5,17,"1,138"
10/22/2020,"2,654","6,595",3.18,10,599,228,7,8,"1,044"
10/23/2020,"2,717","9,660",4.66,18,868,188,8,31,"1,112"
10/24/2020,"3,111","11,456",6.37,12,562,180,15,70,"1,513"
10/25/2020,"2,364","4,013",1.94,8,659,162,0,0,649
10/26/2020,"2,322","3,867",1.86,5,664,151,0,0,620
10/27/2020,"2,731","8,586",4.14,9,779,260,1,9,"1,155"
10/28/2020,"2,679","7,532",3.63,12,800,207,5,15,"1,043"
10/29/2020,"2,629","6,695",3.23,10,663,194,7,16,962
10/30/2020,"2,601","7,656",3.69,18,779,214,0,0,946
10/31/2020,"3,140","8,321",4.01,7,447,439,0,0,"1,770"
11/1/2020,"2,653","5,651",2.72,12,692,228,0,0,906
11/2/2020,"3,156","13,427",6.47,12,738,251,29,38,"1,620"
11/3/2020,"2,805","8,565",4.13,15,737,271,2,8,"1,208"
11/4/2020,"2,649","8,395",4.05,13,821,195,8,18,"1,030"
11/5/2020,"2,833","9,358",4.59,9,630,154,26,42,"1,146"
11/6/2020,"3,179","12,391",5.99,18,729,255,22,45,"1,618"
11/7/2020,"2,404","3,507",1.69,9,650,172,0,0,687
11/8/2020,"2,877","9,528",4.59,10,507,204,24,37,"1,318"
11/9/2020,"2,611","6,879",3.32,4,745,266,0,0,"1,064"
11/10/2020,"3,055","13,238",6.38,20,745,201,8,72,"1,511"
11/11/2020,"2,546","7,381",3.56,8,825,180,2,9,877
11/12/2020,"2,845","8,446",4.07,16,627,271,3,7,"1,259"
11/13/2020,"2,914","8,366",4.03,26,708,339,0,0,"1,402"
11/14/2020,"2,540","5,247",2.53,2,681,161,8,17,836
11/15/2020,"3,010","9,446",5.32,14,613,213,7,45,"1,367"
